id,code,name,keywords
TCM000898,A09.02.03.33,妊娠疱疹,
TCM000899,A09.02.03.34,妊娠偏头痛,
TCM000900,A09.02.03.35,妊娠贫血,
TCM000901,A09.02.03.36,妊娠紫癜,
TCM000902,A09.02.03.37,妊娠消渴,
TCM000904,A09.02.04.01,难产,
TCM000905,A09.02.04.01.01,交骨不开难产,
TCM000906,A09.02.04.01.02,胎位异常难产,
TCM000907,A09.02.04.01.03,胎儿异常难产,
TCM000908,A09.02.04.02,胞衣先破,胞衣早破|胞膜先破|胞膜早破
TCM000909,A09.02.04.03,脐带绕颈,脐带缠绕
TCM000910,A09.02.04.04,胞衣不下,胞衣不出|胎衣不出|息胞|息胎
TCM000911,A09.02.04.05,滞产,
TCM000913,A09.02.05.01,产后产门不闭,产门不闭|玉门不闭
TCM000914,A09.02.05.02,产后子宫脱垂,产后阴下脱
TCM000915,A09.02.05.03,产后发热,
TCM000916,A09.02.05.03.01,产后感染发热,
TCM000917,A09.02.05.04,产后血晕,
TCM000918,A09.02.05.05,产后血崩,产后出血
TCM000919,A09.02.05.05.01,新产血崩,
TCM000920,A09.02.05.05.02,晚期产后出血,产褥期出血
TCM000921,A09.02.05.06,产后恶露不下,恶露不下
TCM000922,A09.02.05.07,产后恶露不绝,恶露不绝|恶露不净|恶露不尽
TCM000923,A09.02.05.08,产后恶血冲心,产后败血冲心|产后恶血入心
TCM000924,A09.02.05.09,产后恶血冲胃,
TCM000925,A09.02.05.10,产后恶血冲肺,
TCM000926,A09.02.05.11,产后痉病,
TCM000927,A09.02.05.12,产后腹痛,儿枕痛
TCM000928,A09.02.05.13,产后大便难,产后便秘
TCM000929,A09.02.05.14,产后小便不通,
TCM000930,A09.02.05.15,产后小便频数,
TCM000931,A09.02.05.16,产后小便失禁,产后遗尿
TCM000932,A09.02.05.17,产后小便淋痛,
TCM000933,A09.02.05.18,产后郁病,产后郁证
TCM000934,A09.02.05.19,产后尿血,
TCM000936,A09.02.05.20.01,产后盗汗,
TCM000937,A09.02.05.20.02,产后自汗,
TCM000938,A09.02.05.21,产褥中暑,
TCM000939,A09.02.05.22,产后缺乳,乳汁不行
TCM000940,A09.02.05.23,产后乳汁自出,产后漏乳
TCM000941,A09.02.05.24,产后瘖,产后喑
TCM000942,A09.02.05.25,产后身痛,产后痹
TCM000943,A09.02.05.26,产后遗粪,
TCM000944,A09.02.05.27,交肠病,产后交肠病|阴道直肠瘘
TCM000945,A09.02.06,带下病,带下
TCM000946,A09.02.06.01,白带,
TCM000947,A09.02.06.02,黄带,
TCM000948,A09.02.06.03,赤带,
TCM000949,A09.02.06.04,五色带,
TCM000950,A09.02.06.05,白崩,
TCM000952,A09.02.07.01,不孕,
TCM000953,A09.02.07.02,血风劳,产褥劳|产后劳
TCM000954,A09.02.07.03,盆腔炎,
TCM000955,A09.02.07.04,假孕,
TCM000956,A09.02.07.05,性冷,性冷淡
TCM000957,A09.02.07.06,梦交,
TCM000959,A09.03.01,房事早泄,早泄
TCM000960,A09.03.02,房事阳痿,阳痿
TCM000961,A09.03.03,房事疼痛,
TCM000962,A09.03.04,房事出血,
TCM000963,A09.03.05,房事晕厥,性交昏厥
TCM000966,A10.01.01,初生不啼,闷脐生
TCM000967,A10.01.02,初生不乳,
TCM000968,A10.01.03,初生儿呕吐,
TCM000969,A10.01.04,初生儿泄泻,
TCM000970,A10.01.05,初生大便不通,
TCM000971,A10.01.06,初生小便不通,
