id,code,name,keywords
TCMT000867,C02.21.05.01,消肿生肌,
TCMT000868,C02.21.05.02,去毒生肌,排毒生肌
TCMT000869,C02.21.05.03,煨脓长肉,煨脓生肌
TCMT000870,C02.21.05.04,透脓生肌,
TCMT000871,C02.21.05.05,燥湿生肌,生肌燥湿
TCMT000872,C02.21.05.06,和营生新,
TCMT000873,C02.21.05.07,养血生肌,
TCMT000874,C02.21.05.08,养阴生肌,
TCMT000875,C02.21.05.09,益气生肌,
TCMT000876,C02.21.05.10,回阳生肌,
TCMT000877,C02.21.05.11,生肌收口,
TCMT000878,C02.21.05.12,生肌定痛,
TCMT000879,C02.22.,治五官法,
TCMT000880,C02.22.01.,明目,
TCMT000881,C02.22.01.01.,祛邪明目,
TCMT000882,C02.22.01.01.01,祛风明目,疏风明目；搜风明目
TCMT000883,C02.22.01.01.02,清热明目,泻火明目；泄热明目；清肝明目
TCMT000884,C02.22.01.01.03,凉血明目,
TCMT000885,C02.22.01.01.04,化瘀明目,活血明目；祛瘀明目
TCMT000886,C02.22.01.01.05,退翳明目,
TCMT000887,C02.22.01.02.,补益明目,
TCMT000888,C02.22.01.02.01,补气明目,
TCMT000889,C02.22.01.02.02,养血明目,养肝明目
TCMT000890,C02.22.01.02.03,滋肝明目,
TCMT000891,C02.22.01.02.04,补肾明目,
TCMT000892,C02.22.02.,通耳,利耳
TCMT000893,C02.22.02.01.,祛邪利耳,
TCMT000894,C02.22.02.01.01,疏风宣耳,祛风宣耳；祛风通耳
TCMT000895,C02.22.02.01.02,降火清耳,
TCMT000896,C02.22.02.01.03,解毒利耳,
TCMT000897,C02.22.02.01.04,除湿利耳,祛湿利耳；祛湿通耳
TCMT000898,C02.22.02.01.05,祛痰利耳,祛痰通耳
TCMT000899,C02.22.02.01.06,化浊利耳,
TCMT000900,C02.22.02.01.07,理气通耳,
TCMT000901,C02.22.02.01.08,逐瘀通耳,
TCMT000902,C02.22.02.01.09,温化寒水利耳,
TCMT000903,C02.22.02.01.10,平肝潜阳利耳,
TCMT000904,C02.22.02.01.10.01,泻肝清耳,泻胆清耳
TCMT000905,C02.22.02.02.,补益濡耳,补益利耳
TCMT000906,C02.22.02.02.01,补气通耳,益气通耳
TCMT000907,C02.22.02.02.02,补血养耳,
TCMT000908,C02.22.02.02.03,滋阴濡耳,养阴濡耳
TCMT000909,C02.22.02.02.03.01,滋肾濡耳,
TCMT000910,C02.22.02.02.03.02,滋肝濡耳,
TCMT000911,C02.22.03.,通鼻,
TCMT000912,C02.22.03.01.,祛邪利鼻,
TCMT000913,C02.22.03.01.01,疏风通鼻,
TCMT000914,C02.22.03.01.02,散寒通鼻,
TCMT000915,C02.22.03.01.03,除湿利鼻,化浊通鼻；化浊利鼻
TCMT000916,C02.22.03.01.04,清燥润鼻,
TCMT000917,C02.22.03.01.05,芳香通鼻,芳香通窍
TCMT000918,C02.22.03.01.06,清胆利鼻,
TCMT000919,C02.22.03.01.07,解毒利鼻,解毒通鼻
TCMT000920,C02.22.03.01.08,祛瘀通鼻,
TCMT000921,C02.22.03.02.,补益利鼻,
TCMT000922,C02.22.03.02.01,益气煦鼻,补气煦鼻；补气通鼻
TCMT000923,C02.22.03.02.02,补血滋鼻,
TCMT000924,C02.22.03.02.03,滋阴通鼻,养阴通鼻；养阴润鼻
TCMT000925,C02.22.03.02.04,温阳通鼻,升阳通鼻
TCMT000926,C02.22.04.,利咽,
TCMT000927,C02.22.04.01.,祛邪利咽,
TCMT000928,C02.22.04.01.01,疏风利咽,疏风利喉
TCMT000929,C02.22.04.01.02,散寒利咽,散寒利喉；疏风散寒利咽
TCMT000930,C02.22.04.01.03,清胃利咽,清胃利喉
TCMT000931,C02.22.04.01.04,理气利咽,理气利喉
TCMT000932,C02.22.04.01.05,祛痰利咽,祛痰利喉
TCMT000933,C02.22.04.01.06,逐瘀利咽,活血利咽
TCMT000934,C02.22.04.02.,补益利咽,
TCMT000935,C02.22.04.02.01,益气利咽,益气健喉
TCMT000936,C02.22.04.02.02,滋阴润咽,滋阴利咽
TCMT000937,C02.22.04.02.02.01,生津利咽,润燥利咽
TCMT000938,C02.22.04.02.02.02,滋阴润喉,滋阴利喉
TCMT000939,C02.22.05.,开音,
TCMT000940,C02.22.05.01.,祛邪开音,
TCMT000941,C02.22.05.01.01,宣肺开音,
TCMT000942,C02.22.05.01.02,散寒开音,
TCMT000943,C02.22.05.01.03,清热开音,
TCMT000944,C02.22.05.01.04,祛痰开音,
TCMT000945,C02.22.05.01.05,行气开音,理气开音
TCMT000946,C02.22.05.01.06,祛瘀开音,活血开音；逐瘀开音
TCMT000947,C02.22.05.01.07,散结开音,
TCMT000948,C02.22.05.01.08,消肿开音,
